id_resident,nom,prenom,date_naissance,cin,date_entree,date_sortie,id_profil
1,Dupont,Jean,1990-05-10,12345678,2024-03-15,2024-05-20,1
2,Martin,Sophie,1985-09-22,87654321,2024-06-10,2024-08-25,2
3,Lefevre,Paul,2000-03-10,456789123,2024-02-01,2024-04-15,5
4,Moreau,Clara,1995-07-18,23456789,2024-05-05,2024-05-10,3
5,Garcia,Louis,1988-12-30,98765432,2024-01-25,2024-03-30,4
6,Michel,Emma,1992-09-10,56473829,2024-04-14,2024-04-19,2
7,Thomas,Hugo,1997-11-22,09876543,2024-07-01,2024-09-15,1
8,Bernard,Julie,1993-06-08,67890543,2024-02-20,2024-05-05,5
9,Richard,Lucas,1980-08-15,90817263,2024-03-10,2024-04-10,3
10,Petit,Elise,2001-04-05,45362718,2024-06-25,2024-09-10,4
11,Mahrez,Mounib,1978-06-30,72701384,2025-01-09,2025-02-28,2
12,House,Angel,2005-07-09,55102987,2025-01-10,2025-02-28,5
